-----;--------;------;---------------;--------;--------;----------;--------;---------;----------;---------;---------;-----;----------------;
   4 ; USIH   ;    33; SAO SIMAO     ;    4   ; QDEF   ;HIDRLIM   ;  10033 ;     1.00;  (m3/s)  ;   450.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIT   ;     1; ANGRA 1       ;    5   ; GTER   ;TERMLIM   ;      1 ;     1.00;   (MW)   ;     0.00;   657.00; NAO ; Reg. UT        ;
   5 ; USIT   ;     2; IGARAPE       ;    5   ; GTER   ;TERMLIM   ;      2 ;     1.00;   (MW)   ;     0.00;   131.00; NAO ; Reg. UT        ;
   5 ; USIT   ;     3; ST.CRUZ 12    ;    5   ; GTER   ;TERMLIM   ;      3 ;     1.00;   (MW)   ;     0.00;    84.00; NAO ; Reg. UT        ;
   5 ; USIT   ;    50; PIRAT.12 G    ;    5   ; GTER   ;TERMLIM   ;     50 ;     1.00;   (MW)   ;     0.00;   200.00; NAO ; Reg. UT        ;
   5 ; USIT   ;     4; ST.CRUZ 34    ;    5   ; GTER   ;TERMLIM   ;      4 ;     1.00;   (MW)   ;     0.00;   220.00; NAO ; Reg. UT        ;
   5 ; USIH   ;     6; FURNAS        ;    5   ; QDEF   ;HIDRLIM   ;  10006 ;     1.00;  (m3/s)  ;   102.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;     7; M. DE MORAES  ;    5   ; QDEF   ;HIDRLIM   ;  10007 ;     1.00;  (m3/s)  ;  1100.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;     8; ESTREITO      ;    5   ; QDEF   ;HIDRLIM   ;  10008 ;     1.00;  (m3/s)  ;   115.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;    10; IGARAPAVA     ;    5   ; QDEF   ;HIDRLIM   ;  10010 ;     1.00;  (m3/s)  ;   119.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;    14; CACONDE       ;    5   ; QDEF   ;HIDRLIM   ;  10014 ;     1.00;  (m3/s)  ;     8.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;    15; E. DA CUNHA   ;    5   ; QDEF   ;HIDRLIM   ;  10015 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;    16; A.S.OLIVEIRA  ;    5   ; QDEF   ;HIDRLIM   ;  10016 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
