***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Dados dos cortes do decomp.
  
-----;--------;------;------;---------;-----------;
NITER; NREGDC ; NSIS ; NPLT ; NUTV ; NGNL ;IPTDEC1 ;
   IPTDEC2 ;
-----;--------;------;------;---------;-----------;
  27 ;    135 ;    2 ;   14 ;    0 ;    0 ;    135  ;       0   ;
-----;--------;------;------;---------;-----------;

Cortes da segunda semana de estudo do DECOMP

-----;------;------;-----;-----;-----;----------------;
 IND ; IREG ; TIPO ; USI ; LAG ; PAT ;    Valor       ;
-----;------;------;-----;-----;-----;----------------;
  14 ;      ; VARM ;   8 ;  -  ;  -  ;         -40.99 ;
  14 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.52 ;
  14 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.64 ;
  14 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.32 ;
  14 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
  14 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.20 ;
  14 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
  14 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.44 ;
  14 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.41 ;
  14 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.90 ;
  14 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.41 ;
  14 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.06 ;
  15 ;   65 ; RHS  ;     ;     ;     ;     5982359.60 ;
  15 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
  15 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.11 ;
  15 ;      ; VARM ;   8 ;  -  ;  -  ;         -41.02 ;
  15 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.57 ;
  15 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.37 ;
  15 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.29 ;
  15 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
  15 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.21 ;
  15 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
  15 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.56 ;
  15 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.42 ;
  15 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.98 ;
  15 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.52 ;
  15 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.47 ;
  16 ;   60 ; RHS  ;     ;     ;     ;     5982005.46 ;
  16 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
  16 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.11 ;
  16 ;      ; VARM ;   8 ;  -  ;  -  ;         -41.02 ;
  16 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.57 ;
  16 ;      ; VARM ;  14 ;  -  ;  -  ;         -98.90 ;
  16 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.20 ;
  16 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
  16 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.21 ;
  16 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
