-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
USIH ;IPER ;   NomeUsih   ; Varm Med ;  Vutil   ;  Qtur   ;  Qver   ;  Qjus   ;Afog;Ghid (FPH);Ghid (FPHA; Desvio Abs ; DesvioPerc ;Vtfuga;
  -  ;  -  ;      -       ;  (hm3)   ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;    ;   (MW)   ;   (MW)   ;    (MW)    ;    (%)     ;  -   ;
-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
 032 ;  22 ; CACH.DOURADA ;    -     ;   100.00 ;  1851.40;     0.00;     0.00;  0 ;   451.96 ;   512.66 ;      60.69 ;      13.43 ;   1  ;
 033 ;  22 ; SAO SIMAO    ;    -     ;   279.65 ;  1607.33;     0.00;     0.00;  0 ;   937.54 ;  1097.33 ;     159.78 ;      17.04 ;   0  ;
 007 ;  23 ; M. DE MORAES ;    -     ;    25.84 ;  1136.35;     0.00;     0.00;  1 ;   325.80 ;   303.23 ;     -22.57 ;      -6.93 ;   1  ;
 008 ;  23 ; ESTREITO     ;    -     ;   100.00 ;  1167.35;     0.00;     0.00;  0 ;   654.41 ;   667.59 ;      13.18 ;       2.01 ;   1  ;
 014 ;  23 ; CACONDE      ;    -     ;    51.01 ;    91.35;     0.00;     0.00;  0 ;    69.32 ;    73.97 ;       4.65 ;       6.71 ;   1  ;
 016 ;  23 ; A.S.OLIVEIRA ;    -     ;   100.00 ;   148.35;     0.00;     0.00;  0 ;    31.14 ;    32.00 ;       0.86 ;       2.75 ;   1  ;
 030 ;  23 ; CORUMBA I    ;    -     ;  1481.32 ;   556.81;     0.00;     0.00;  0 ;   375.00 ;  1465.93 ;    1090.93 ;     290.91 ;   1  ;
 031 ;  23 ; ITUMBIARA    ;    -     ;  -148.78 ;  1448.44;     0.00;     0.00;  0 ;     0.00 ;   394.48 ;     394.48 ;     100.00 ;   1  ;
 032 ;  23 ; CACH.DOURADA ;    -     ;   100.00 ;  1560.44;     0.00;     0.00;  0 ;   380.93 ;   438.57 ;      57.63 ;      15.13 ;   1  ;
 033 ;  23 ; SAO SIMAO    ;    -     ;   279.74 ;  1252.38;     0.00;     0.00;  0 ;   732.12 ;   855.00 ;     122.88 ;      16.78 ;   0  ;
 007 ;  24 ; M. DE MORAES ;    -     ;    25.73 ;  1100.00;     0.00;     0.00;  1 ;   315.23 ;   293.53 ;     -21.70 ;      -6.88 ;   1  ;
 015 ;  24 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 030 ;  24 ; CORUMBA I    ;    -     ;  1481.36 ;   556.84;     0.00;     0.00;  0 ;   375.00 ;  1465.98 ;    1090.98 ;     290.93 ;   1  ;
 031 ;  24 ; ITUMBIARA    ;    -     ;  -148.77 ;  1052.91;     0.00;     0.00;  0 ;     0.00 ;   138.58 ;     138.58 ;     100.00 ;   1  ;
 032 ;  24 ; CACH.DOURADA ;    -     ;   100.00 ;  1164.91;     0.00;     0.00;  0 ;   284.38 ;   332.73 ;      48.35 ;      17.00 ;   1  ;
 033 ;  24 ; SAO SIMAO    ;    -     ;   279.83 ;   959.90;     0.00;     0.00;  0 ;   562.06 ;   655.32 ;      93.27 ;      16.59 ;   0  ;
 033 ;  24 ; SAO SIMAO    ;    -     ;   279.83 ;   959.90;     0.00;     0.00;  0 ;   562.06 ;   655.32 ;      93.27 ;      16.59 ;   0  ;
