***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
 Relatorio dos fluxos nas linhas
  
----;-------;--;-;-;-;-;------;----;------;------;----;------;----;-----;-----------;-----------;-----------;--------;-----------;-----------;-----------;-----------;-----------;
    ;       ;FLAGS;;;;;       ;    ; BAR  ; Sist ;    ; BAR  ;Sist;     ;   Fluxo   ;   Capac   ;         Perdas    ;;  Multipl. ;  ger de   ; ger para  ; carga de  ;carga para ;
IPER;  Pat  ;  ; ; ; ; ; IND  ; Nv ; DE   ;  De  ; Nv ; PARA ;para; CIR ;    (MW)   ;    (MW)   ;    (MW)   ;   %    ;  ($/MWh)  ;   (MW)    ;   (MW)    ;   (MW)    ;   (MW)    ;
----;-------;--;-;-;-;-;------;----;------;------;----;------;----;-----;-----------;-----------;-----------;--------;-----------;-----------;-----------;-----------;-----------;
   2; LEVE  ;  ; ; ; ; ;   15 ; G  ; 00009;  S1  ; G  ; 00012; S1 ;   1 ;   -54.115 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   216.229 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   16 ; G  ; 00010;  S1  ; G  ; 00011; S1 ;   1 ;    -5.548 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   240.899 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   17 ; G  ; 00010;  S1  ; G  ; 00012; S1 ;   1 ;   -42.381 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   240.899 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   18 ; G  ; 00011;  S1  ; G  ; 00013; S1 ;   1 ;  -215.662 ;       300 ;           ;        ;     0.000 ;     -     ;   837.266 ;     -     ;   327.336 ;
   2; LEVE  ;  ; ; ; ; ;   19 ; G  ; 00011;  S1  ; G  ; 00014; S2 ;   1 ;   192.831 ;       300 ;           ;        ;     0.000 ;     -     ;   220.000 ;     -     ;   469.589 ;
   2; LEVE  ;  ; ; ; ; ;   20 ; G  ; 00012;  S1  ; G  ; 00013; S1 ;   1 ;  -150.740 ;       300 ;           ;        ;     0.000 ;     -     ;   837.266 ;     -     ;   327.336 ;
   2; LEVE  ;  ; ; ; ; ;   21 ; G  ; 00012;  S1  ; G  ; 00023; S2 ;   1 ;    54.244 ;       300 ;           ;        ;     0.000 ;     -     ;   307.216 ;     -     ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   22 ; G  ; 00013;  S1  ; G  ; 00023; S2 ;   1 ;   143.528 ;       300 ;           ;        ;     0.000 ;   837.266 ;   307.216 ;   327.336 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   23 ; G  ; 00014;  S2  ; G  ; 00016; S2 ;   1 ;   -56.758 ;       300 ;           ;        ;     0.000 ;   220.000 ;    55.383 ;   469.589 ;   242.067 ;
   2; LEVE  ;  ; ; ; ; ;   24 ; G  ; 00015;  S2  ; G  ; 00016; S2 ;   1 ;   186.561 ;       300 ;           ;        ;     0.000 ;   506.922 ;    55.383 ;   767.469 ;   242.067 ;
   2; LEVE  ;  ; ; ; ; ;   25 ; G  ; 00015;  S2  ; G  ; 00021; S2 ;   1 ;  -187.918 ;       300 ;           ;        ;     0.000 ;   506.922 ;   400.000 ;   767.469 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   26 ; G  ; 00015;  S2  ; G  ; 00021; S2 ;   2 ;  -187.918 ;       300 ;           ;        ;     0.000 ;   506.922 ;   400.000 ;   767.469 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   27 ; G  ; 00015;  S2  ; G  ; 00024; S2 ;   1 ;   -71.272 ;       300 ;           ;        ;     0.000 ;   506.922 ;     -     ;   767.469 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   28 ; G  ; 00016;  S2  ; G  ; 00017; S2 ;   1 ;  -300.000 ;       300 ;           ;        ;     1.329 ;    55.383 ;     -     ;   242.067 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   29 ; G  ; 00016;  S2  ; G  ; 00019; S2 ;   1 ;   243.119 ;       300 ;           ;        ;     0.000 ;    55.383 ;     -     ;   242.067 ;   438.320 ;
   2; LEVE  ;  ; ; ; ; ;   30 ; G  ; 00017;  S2  ; G  ; 00018; S2 ;   1 ;  -138.302 ;       300 ;           ;        ;     0.000 ;     -     ;   738.012 ;     -     ;   806.192 ;
   2; LEVE  ;  ; ; ; ; ;   31 ; G  ; 00017;  S2  ; G  ; 00022; S2 ;   1 ;  -161.698 ;       300 ;           ;        ;     0.000 ;     -     ;   344.017 ;     -     ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   32 ; G  ; 00018;  S2  ; G  ; 00021; S2 ;   1 ;  -103.241 ;       300 ;           ;        ;     0.000 ;   738.012 ;   400.000 ;   806.192 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   33 ; G  ; 00018;  S2  ; G  ; 00021; S2 ;   2 ;  -103.241 ;       300 ;           ;        ;     0.000 ;   738.012 ;   400.000 ;   806.192 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   34 ; G  ; 00019;  S2  ; G  ; 00020; S2 ;   1 ;   -97.600 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   438.320 ;   309.787 ;
   2; LEVE  ;  ; ; ; ; ;   35 ; G  ; 00019;  S2  ; G  ; 00020; S2 ;   2 ;   -97.600 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   438.320 ;   309.787 ;
   2; LEVE  ;  ; ; ; ; ;   36 ; G  ; 00020;  S2  ; G  ; 00023; S2 ;   1 ;  -252.494 ;       300 ;           ;        ;     0.000 ;     -     ;   307.216 ;   309.787 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   37 ; G  ; 00020;  S2  ; G  ; 00023; S2 ;   2 ;  -252.494 ;       300 ;           ;        ;     0.000 ;     -     ;   307.216 ;   309.787 ;     -     ;
   2; LEVE  ;  ; ; ; ; ;   38 ; G  ; 00021;  S2  ; G  ; 00022; S2 ;   1 ;  -182.319 ;       300 ;           ;        ;     0.000 ;   400.000 ;   344.017 ;     -     ;     -     ;
   3; LEVE  ;  ; ; ; ; ;    1 ; G  ; 00001;  S1  ; G  ; 00002; S1 ;   1 ;   154.564 ;       300 ;           ;        ;     0.000 ;   728.530 ;   377.528 ;   121.505 ;   109.115 ;
   3; LEVE  ;  ; ; ; ; ;    2 ; G  ; 00001;  S1  ; G  ; 00003; S1 ;   1 ;   183.119 ;       300 ;           ;        ;     0.000 ;   728.530 ;   200.000 ;   121.505 ;   202.453 ;
   3; LEVE  ;  ; ; ; ; ;    3 ; G  ; 00001;  S1  ; G  ; 00005; S1 ;   1 ;   269.343 ;       300 ;           ;        ;     0.000 ;   728.530 ;    41.300 ;   121.505 ;    79.874 ;
   3; LEVE  ;  ; ; ; ; ;    4 ; G  ; 00002;  S1  ; G  ; 00004; S1 ;   1 ;   223.995 ;       300 ;           ;        ;     0.000 ;   377.528 ;     -     ;   109.115 ;    83.261 ;
   3; LEVE  ;  ; ; ; ; ;    5 ; G  ; 00002;  S1  ; G  ; 00006; S1 ;   1 ;   198.982 ;       300 ;           ;        ;     0.000 ;   377.528 ;     -     ;   109.115 ;   152.975 ;
   3; LEVE  ;  ; ; ; ; ;    6 ; G  ; 00003;  S1  ; G  ; 00009; S1 ;   1 ;    54.186 ;       300 ;           ;        ;     0.000 ;   200.000 ;     -     ;   202.453 ;   196.918 ;
   3; LEVE  ;  ; ; ; ; ;    7 ; G  ; 00003;  S1  ; G  ; 00024; S2 ;   1 ;   126.480 ;       300 ;           ;        ;     0.000 ;   200.000 ;     -     ;   202.453 ;     -     ;
   3; LEVE  ;  ; ; ; ; ;    8 ; G  ; 00004;  S1  ; G  ; 00009; S1 ;   1 ;   140.735 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;    83.261 ;   196.918 ;
   3; LEVE  ;  ; ; ; ; ;    9 ; G  ; 00005;  S1  ; G  ; 00010; S1 ;   1 ;   230.769 ;       300 ;           ;        ;     0.000 ;    41.300 ;     -     ;    79.874 ;   219.386 ;
   3; LEVE  ;  ; ; ; ; ;   10 ; G  ; 00006;  S1  ; G  ; 00010; S1 ;   1 ;    46.007 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   152.975 ;   219.386 ;
   3; LEVE  ; R; ; ; ; ;   11 ; G  ; 00007;  S1  ; G  ; 00008; S1 ;   1 ;   109.415 ;       300 ;           ;        ;     0.000 ;   250.000 ;     -     ;   140.585 ;   192.375 ;
   3; LEVE  ;  ; ; ; ; ;   12 ; G  ; 00008;  S1  ; G  ; 00009; S1 ;   1 ;   -35.464 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   192.375 ;   196.918 ;
   3; LEVE  ;  ; ; ; ; ;   13 ; G  ; 00008;  S1  ; G  ; 00010; S1 ;   1 ;   -47.496 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   192.375 ;   219.386 ;
   3; LEVE  ;  ; ; ; ; ;   14 ; G  ; 00009;  S1  ; G  ; 00011; S1 ;   1 ;     0.339 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   196.918 ;     -     ;
   3; LEVE  ;  ; ; ; ; ;   15 ; G  ; 00009;  S1  ; G  ; 00012; S1 ;   1 ;   -37.800 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   196.918 ;     -     ;
   3; LEVE  ;  ; ; ; ; ;   16 ; G  ; 00010;  S1  ; G  ; 00011; S1 ;   1 ;    24.016 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   219.386 ;     -     ;
   3; LEVE  ;  ; ; ; ; ;   17 ; G  ; 00010;  S1  ; G  ; 00012; S1 ;   1 ;   -14.123 ;       300 ;           ;        ;     0.000 ;     -     ;     -     ;   219.386 ;     -     ;
   3; LEVE  ;  ; ; ; ; ;   18 ; G  ; 00011;  S1  ; G  ; 00013; S1 ;   1 ;  -211.734 ;       300 ;           ;        ;     0.000 ;     -     ;   837.266 ;     -     ;   298.103 ;
   3; LEVE  ;  ; ; ; ; ;   19 ; G  ; 00011;  S1  ; G  ; 00014; S2 ;   1 ;   236.089 ;       300 ;           ;        ;     0.000 ;     -     ;   220.000 ;     -     ;   426.195 ;
   3; LEVE  ;  ; ; ; ; ;   20 ; G  ; 00012;  S1  ; G  ; 00013; S1 ;   1 ;  -144.510 ;       300 ;           ;        ;     0.000 ;     -     ;   837.266 ;     -     ;   298.103 ;
   3; LEVE  ;  ; ; ; ; ;   21 ; G  ; 00012;  S1  ; G  ; 00023; S2 ;   1 ;    92.586 ;       300 ;           ;        ;     0.000 ;     -     ;   218.700 ;     -     ;     -     ;
   3; LEVE  ;  ; ; ; ; ;   22 ; G  ; 00013;  S1  ; G  ; 00023; S2 ;   1 ;   182.919 ;       300 ;           ;        ;     0.000 ;   837.266 ;   218.700 ;   298.103 ;     -     ;
   3; LEVE  ;  ; ; ; ; ;   23 ; G  ; 00014;  S2  ; G  ; 00016; S2 ;   1 ;    29.894 ;       300 ;           ;        ;     0.000 ;   220.000 ;    55.383 ;   426.195 ;   219.698 ;
   3; LEVE  ;  ; ; ; ; ;   24 ; G  ; 00015;  S2  ; G  ; 00016; S2 ;   1 ;    19.191 ;       300 ;           ;        ;     0.000 ;   128.689 ;    55.383 ;   696.548 ;   219.698 ;
   3; LEVE  ;  ; ; ; ; ;   25 ; G  ; 00015;  S2  ; G  ; 00021; S2 ;   1 ;  -230.285 ;       300 ;           ;        ;     0.000 ;   128.689 ;   400.000 ;   696.548 ;     -     ;
   3; LEVE  ;  ; ; ; ; ;   26 ; G  ; 00015;  S2  ; G  ; 00021; S2 ;   2 ;  -230.285 ;       300 ;           ;        ;     0.000 ;   128.689 ;   400.000 ;   696.548 ;     -     ;
   3; LEVE  ;  ; ; ; ; ;   27 ; G  ; 00015;  S2  ; G  ; 00024; S2 ;   1 ;  -126.480 ;       300 ;           ;        ;     0.000 ;   128.689 ;     -     ;   696.548 ;     -     ;
   3; LEVE  ;  ; ; ; ; ;   28 ; G  ; 00016;  S2  ; G  ; 00017; S2 ;   1 ;  -300.000 ;       300 ;           ;        ;     0.000 ;    55.383 ;     -     ;   219.698 ;     -     ;
   3; LEVE  ;  ; ; ; ; ;   29 ; G  ; 00016;  S2  ; G  ; 00019; S2 ;   1 ;   184.770 ;       300 ;           ;        ;     0.000 ;    55.383 ;     -     ;   219.698 ;   397.815 ;
