-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
USIH ;IPER ;   NomeUsih   ; Varm Med ;  Vutil   ;  Qtur   ;  Qver   ;  Qjus   ;Afog;Ghid (FPH);Ghid (FPHA; Desvio Abs ; DesvioPerc ;Vtfuga;
  -  ;  -  ;      -       ;  (hm3)   ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;    ;   (MW)   ;   (MW)   ;    (MW)    ;    (%)     ;  -   ;
-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
 008 ;   8 ; ESTREITO     ;    -     ;   100.00 ;  1131.00;     0.00;     0.00;  0 ;   634.42 ;   646.81 ;      12.39 ;       1.95 ;   1  ;
 010 ;   8 ; IGARAPAVA    ;    -     ;   100.00 ;  1180.00;     0.00;     0.00;  0 ;   178.09 ;   178.03 ;      -0.06 ;      -0.03 ;   1  ;
 014 ;   8 ; CACONDE      ;    -     ;    50.46 ;     0.00;     0.00;     0.00;  0 ;     0.00 ;     0.00 ;       0.00 ;       0.00 ;   1  ;
 015 ;   8 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 016 ;   8 ; A.S.OLIVEIRA ;    -     ;   100.00 ;    57.00;     0.00;     0.00;  0 ;    12.42 ;    12.43 ;       0.01 ;       0.09 ;   1  ;
 024 ;   8 ; EMBORCACAO   ;    -     ;    53.62 ;    51.00;     0.00;     0.00;  0 ;    55.33 ;    55.38 ;       0.05 ;       0.10 ;   0  ;
 025 ;   8 ; NOVA PONTE   ;    -     ;    73.48 ;    40.00;     0.00;     0.00;  1 ;    41.04 ;    41.02 ;      -0.02 ;      -0.04 ;   1  ;
 026 ;   8 ; MIRANDA      ;    -     ;    98.91 ;    42.00;     0.00;     0.00;  0 ;    26.41 ;    26.44 ;       0.04 ;       0.13 ;   0  ;
 030 ;   8 ; CORUMBA I    ;    -     ;    64.44 ;    74.00;     0.00;     0.00;  0 ;    49.58 ;    62.30 ;      12.72 ;      25.65 ;   1  ;
 031 ;   8 ; ITUMBIARA    ;    -     ;    54.07 ;  1317.21;     0.00;     0.00;  0 ;   878.19 ;   887.71 ;       9.52 ;       1.08 ;   1  ;
 032 ;   8 ; CACH.DOURADA ;    -     ;   100.00 ;  1429.21;     0.00;     0.00;  0 ;   403.55 ;   403.45 ;      -0.09 ;      -0.02 ;   1  ;
 033 ;   8 ; SAO SIMAO    ;    -     ;    85.58 ;   450.00;     0.00;     0.00;  0 ;   306.85 ;   307.22 ;       0.36 ;       0.12 ;   0  ;
 006 ;   9 ; FURNAS       ;    -     ;    10.31 ;   102.00;     0.00;     0.00;  0 ;    70.77 ;    71.67 ;       0.91 ;       1.28 ;   1  ;
 007 ;   9 ; M. DE MORAES ;    -     ;     8.96 ;  1100.00;     0.00;     0.00;  1 ;   292.04 ;   293.53 ;       1.49 ;       0.51 ;   1  ;
 008 ;   9 ; ESTREITO     ;    -     ;   100.00 ;  1131.00;     0.00;     0.00;  0 ;   634.42 ;   646.81 ;      12.39 ;       1.95 ;   1  ;
 010 ;   9 ; IGARAPAVA    ;    -     ;   100.00 ;  1180.00;     0.00;     0.00;  0 ;   178.09 ;   178.03 ;      -0.06 ;      -0.03 ;   1  ;
 014 ;   9 ; CACONDE      ;    -     ;    50.52 ;     0.00;     0.00;     0.00;  0 ;     0.00 ;     0.00 ;       0.00 ;       0.00 ;   1  ;
 015 ;   9 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 016 ;   9 ; A.S.OLIVEIRA ;    -     ;   100.00 ;    57.00;     0.00;     0.00;  0 ;    12.42 ;    12.43 ;       0.01 ;       0.09 ;   1  ;
 024 ;   9 ; EMBORCACAO   ;    -     ;    53.64 ;    51.00;     0.00;     0.00;  0 ;    55.33 ;    55.38 ;       0.05 ;       0.09 ;   0  ;
 025 ;   9 ; NOVA PONTE   ;    -     ;    73.50 ;    40.00;     0.00;     0.00;  1 ;    41.04 ;    41.02 ;      -0.02 ;      -0.05 ;   1  ;
 026 ;   9 ; MIRANDA      ;    -     ;    99.10 ;    42.00;     0.00;     0.00;  0 ;    26.41 ;    26.44 ;       0.03 ;       0.13 ;   0  ;
 030 ;   9 ; CORUMBA I    ;    -     ;    64.64 ;    74.00;     0.00;     0.00;  0 ;    49.61 ;    62.52 ;      12.91 ;      26.02 ;   1  ;
 031 ;   9 ; ITUMBIARA    ;    -     ;    54.05 ;  1144.10;     0.00;     0.00;  0 ;   765.17 ;   771.05 ;       5.87 ;       0.77 ;   1  ;
 032 ;   9 ; CACH.DOURADA ;    -     ;   100.00 ;  1256.10;     0.00;     0.00;  0 ;   357.51 ;   357.13 ;      -0.38 ;      -0.11 ;   1  ;
 033 ;   9 ; SAO SIMAO    ;    -     ;    85.71 ;   450.00;     0.00;     0.00;  0 ;   306.90 ;   307.22 ;       0.31 ;       0.10 ;   0  ;
 006 ;  10 ; FURNAS       ;    -     ;    10.34 ;   102.00;     0.00;     0.00;  0 ;    70.77 ;    71.70 ;       0.92 ;       1.31 ;   1  ;
 007 ;  10 ; M. DE MORAES ;    -     ;     8.84 ;  1100.00;     0.00;     0.00;  1 ;   291.86 ;   293.53 ;       1.67 ;       0.57 ;   1  ;
