***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


 Problemas no Tratamento da Soleria do Desvio                                                       

------;------;------;-------;------;--------------;----------;----------;---;-------;-------------;-----------;-------------------;------------;
 IPER ; ITER ; IDES ;  Pat  ; USIH ;     Nome     ;  Vdisp.  ;  VolSol. ;Reg;   Tratamento PL    ;;   Vert    ;     Problema      ; Delta Vdisp;
   -  ;   -  ;   -  ;   -   ;   -  ;      -       ; ( Total  -   hm3 )  ;   ;Status ;Vertmax(hm3);;   (m3/s)  ;         -         ;   (hm3)    ;
------;------;------;-------;------;--------------;----------;----------;---;-------;-------------;-----------;-------------------;------------;
  12  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1143.49 ;   739.04 ; M ; LIBER ;      407.39 ;      0.00 ;                   ;       2.93 ;
  12  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11306.43 ;  6915.60 ; M ; LIBER ;     4422.45 ;      0.00 ;                   ;      23.36 ;
  12  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11776.20 ;  7000.00 ; M ; LIBER ;     4751.11 ;      0.00 ;                   ;     -34.14 ;
  13  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7527.98 ;  6173.76 ; M ; LIBER ;     1358.77 ;      0.00 ;                   ;       4.54 ;
  13  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1750.26 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      46.72 ;
  13  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   306.65 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.33 ;
  13  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11678.74 ; 10626.45 ; M ; LIBER ;     1058.91 ;      0.00 ;                   ;       6.62 ;
  13  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.91 ;  5500.05 ; M ; LIBER ;     4553.94 ;      0.00 ;                   ;       8.08 ;
  13  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1121.83 ;   975.00 ; M ; LIBER ;      150.72 ;      0.00 ;                   ;       1.82 ;
  13  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1145.61 ;   739.04 ; M ; LIBER ;      409.77 ;      0.00 ;                   ;       3.20 ;
  13  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11306.92 ;  6915.60 ; M ; LIBER ;     4424.05 ;      0.00 ;                   ;      24.48 ;
  13  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11780.92 ;  7000.00 ; M ; LIBER ;     4755.25 ;      0.00 ;                   ;     -34.72 ;
  14  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7532.28 ;  6173.76 ; M ; LIBER ;     1363.43 ;      0.00 ;                   ;       4.91 ;
  14  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1747.20 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      50.31 ;
  14  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   306.96 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.33 ;
  14  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11680.92 ; 10626.45 ; M ; LIBER ;     1061.33 ;      0.00 ;                   ;       6.85 ;
  14  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.90 ;  5500.05 ; M ; LIBER ;     4555.72 ;      0.00 ;                   ;       9.87 ;
  14  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1122.07 ;   975.00 ; M ; LIBER ;      151.00 ;      0.00 ;                   ;       1.86 ;
  14  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1147.72 ;   739.04 ; M ; LIBER ;      412.15 ;      0.00 ;                   ;       3.46 ;
  14  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11307.43 ;  6915.60 ; M ; LIBER ;     4425.65 ;      0.00 ;                   ;      25.56 ;
  14  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11788.84 ;  7000.00 ; M ; LIBER ;     4759.39 ;      0.00 ;                   ;     -38.50 ;
  15  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7536.57 ;  6173.76 ; M ; LIBER ;     1368.09 ;      0.00 ;                   ;       5.27 ;
  15  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1744.14 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      53.90 ;
  15  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   307.26 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.33 ;
  15  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11682.34 ; 10626.45 ; M ; LIBER ;     1063.74 ;      0.00 ;                   ;       7.86 ;
  15  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.88 ;  5500.05 ; M ; LIBER ;     4557.49 ;      0.00 ;                   ;      11.66 ;
  15  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1121.81 ;   975.00 ; M ; LIBER ;      151.29 ;      0.00 ;                   ;       2.40 ;
  15  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1149.83 ;   739.04 ; M ; LIBER ;      414.53 ;      0.00 ;                   ;       3.73 ;
  15  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11307.13 ;  6915.60 ; M ; LIBER ;     4427.25 ;      0.00 ;                   ;      27.46 ;
