***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / barra / hora

------;-------;-------;-------------;-------;-------------;
 IPER ; Pat   ; BAR   ; Nome        ; Sist  ;    Cmarg    ;
------;-------;-------;-------------;-------;-------------;
   8  ; LEVE  ;    11 ;    BARRA11  ;  S1   ;      219.97 ;
   8  ; LEVE  ;    12 ;    BARRA12  ;  S1   ;      219.97 ;
   8  ; LEVE  ;    13 ;    BARRA13  ;  S1   ;      219.97 ;
   8  ; LEVE  ;    14 ;    BARRA14  ;  S2   ;      219.97 ;
   8  ; LEVE  ;    15 ;    BARRA15  ;  S2   ;      219.97 ;
   8  ; LEVE  ;    16 ;    BARRA16  ;  S2   ;      219.97 ;
   8  ; LEVE  ;    17 ;    BARRA17  ;  S2   ;      219.97 ;
   8  ; LEVE  ;    18 ;    BARRA18  ;  S2   ;      219.97 ;
   8  ; LEVE  ;    19 ;    BARRA19  ;  S2   ;      219.97 ;
   8  ; LEVE  ;    20 ;    BARRA20  ;  S2   ;      219.97 ;
   8  ; LEVE  ;    21 ;    BARRA21  ;  S2   ;      219.97 ;
   8  ; LEVE  ;    22 ;    BARRA22  ;  S2   ;      219.97 ;
   8  ; LEVE  ;    23 ;    BARRA23  ;  S2   ;      219.97 ;
   8  ; LEVE  ;    24 ;    BARRA24  ;  S2   ;      219.97 ;
   9  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      219.97 ;
   9  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      219.97 ;
   9  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      219.97 ;
   9  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      219.97 ;
   9  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      219.97 ;
   9  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      219.97 ;
   9  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      219.97 ;
   9  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      219.97 ;
   9  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      219.97 ;
   9  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      219.97 ;
   9  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      219.97 ;
   9  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      219.97 ;
   9  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      219.97 ;
   9  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      219.97 ;
   9  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      219.97 ;
   9  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      219.97 ;
   9  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      219.97 ;
   9  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      219.97 ;
   9  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      219.97 ;
   9  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      219.97 ;
   9  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      219.97 ;
   9  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      219.97 ;
   9  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      219.97 ;
   9  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      219.97 ;
  10  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      220.66 ;
  10  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      220.66 ;
  10  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      220.60 ;
  10  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      220.66 ;
  10  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      220.67 ;
  10  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      220.67 ;
  10  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      220.67 ;
  10  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      220.67 ;
  10  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      220.67 ;
  10  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      220.68 ;
  10  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      220.69 ;
  10  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      220.69 ;
  10  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      220.69 ;
  10  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      220.71 ;
  10  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      220.49 ;
  10  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      220.73 ;
  10  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      219.78 ;
  10  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      219.96 ;
  10  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      220.72 ;
  10  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      220.71 ;
  10  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      220.13 ;
  10  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      219.99 ;
  10  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      220.71 ;
  10  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      220.53 ;
  11  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      219.97 ;
  11  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      219.97 ;
  11  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      219.97 ;
