& ARQUIVO COM RESTRICOES OPERACIONAIS PARA AS UNIDADES TERMICAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
& (NA CONFIGURACAO DO DESSEM)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
&
&
& CONDICOES INICIAIS DAS UNIDADES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
&
INIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
&us     nome       ug   st   GerInic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
&XX XXXXXXXXXXXX   XX   X    XXXXXXXXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
121 CRATO         5 24  0 0 F                               645.65
121 CRATO         6 24  0 0 F                               645.65
121 CRATO         7 24  0 0 F                               645.65
121 CRATO         8 24  0 0 F                               645.65
125 PECEM         1 24  0 0 F                               645.65
125 PECEM         2 24  0 0 F                               645.65
125 PECEM         3 24  0 0 F                               645.65
125 PECEM         4 24  0 0 F                               645.65
125 PECEM         5 24  0 0 F                               645.65
125 PECEM         6 24  0 0 F                               645.65
125 PECEM         7 24  0 0 F                               645.65
125 PECEM         8 24  0 0 F                               645.65
125 PECEM         9 24  0 0 F                               645.65
 74 R.ALMEIDA     1 24  0 0 F                               233.43
 74 R.ALMEIDA     2 24  0 0 F                               233.43
 74 R.ALMEIDA     3 24  0 0 F                               233.43
 74 R.ALMEIDA     4 24  0 0 F                               233.43
 42 FORTALEZA     1 24  0 0 F                               139.88
 42 FORTALEZA     2 24  0 0 F                               139.88
 42 FORTALEZA     3 24  0 0 F                               139.88
 53 GLOBAL I      1 24  0 0 F                               465.65
 53 GLOBAL I      2 24  0 0 F                               465.65
 53 GLOBAL I      3 24  0 0 F                               465.65
 53 GLOBAL I      4 24  0 0 F                               465.65
 55 GLOBAL II     1 24  0 0 F                               465.65
 55 GLOBAL II     2 24  0 0 F                               465.65
 55 GLOBAL II     3 24  0 0 F                               465.65
 55 GLOBAL II     4 24  0 0 F                               465.65
127 IGUATU        1 24  0 0 F                               645.65
127 IGUATU        2 24  0 0 F                               645.65
127 IGUATU        3 24  0 0 F                               645.65
127 IGUATU        4 24  0 0 F                               645.65
127 IGUATU        5 24  0 0 F                               645.65
127 IGUATU        6 24  0 0 F                               645.65
127 IGUATU        7 24  0 0 F                               645.65
127 IGUATU        8 24  0 0 F                               645.65
127 IGUATU        9 24  0 0 F                               645.65
133 JUAZEIRO N    1 24  0 0 F                               645.65
133 JUAZEIRO N    2 24  0 0 F                               645.65
133 JUAZEIRO N    3 24  0 0 F                               645.65
133 JUAZEIRO N    4 24  0 0 F                               645.65
133 JUAZEIRO N    5 24  0 0 F                               645.65
133 JUAZEIRO N    6 24  0 0 F                               645.65
133 JUAZEIRO N    7 24  0 0 F                               645.65
133 JUAZEIRO N    8 24  0 0 F                               645.65
133 JUAZEIRO N    9 24  0 0 F                               645.65
 57 MARACANAU     1 24  0 0 F                               391.82
 57 MARACANAU     2 24  0 0 F                               391.82
 57 MARACANAU     3 24  0 0 F                               391.82
 57 MARACANAU     4 24  0 0 F                               391.82
 57 MARACANAU     5 24  0 0 F                               391.82
 57 MARACANAU     6 24  0 0 F                               391.82
 57 MARACANAU     7 24  0 0 F                               391.82
 57 MARACANAU     8 24  0 0 F                               391.82
135 MARAMBAIA     1 24  0 0 F                               645.65
135 MARAMBAIA     2 24  0 0 F                               645.65
135 MARAMBAIA     3 24  0 0 F                               645.65
135 MARAMBAIA     4 24  0 0 F                               645.65
135 MARAMBAIA     5 24  0 0 F                               645.65
135 MARAMBAIA     6 24  0 0 F                               645.65
135 MARAMBAIA     7 24  0 0 F                               645.65
135 MARAMBAIA     8 24  0 0 F                               645.65
164 MURICY        1 24  0 0 F                               599.12
164 MURICY        2 24  0 0 F                               599.12
164 MURICY        3 24  0 0 F                               599.12
164 MURICY        4 24  0 0 F                               599.12
164 MURICY        5 24  0 0 F                               599.12
164 MURICY        6 24  0 0 F                               599.12
164 MURICY        7 24  0 0 F                               599.12
164 MURICY        8 24  0 0 F                               599.12
138 NAZARIA       1 24  0 0 F                               645.65
138 NAZARIA       2 24  0 0 F                               645.65
138 NAZARIA       3 24  0 0 F                               645.65
138 NAZARIA       4 24  0 0 F                               645.65
138 NAZARIA       5 24  0 0 F                               645.65
138 NAZARIA       6 24  0 0 F                               645.65
138 NAZARIA       7 24  0 0 F                               645.65
138 NAZARIA       8 24  0 0 F                               645.65
167 P.PECEM1      1 24  0 0 F                               141.98
167 P.PECEM1      2 24  0 0 F                               141.98
163 P.PECEM2      1 24  0 0 F                               151.95
160 PAU FERRO     1 24  0 0 F                               863.45
 98 PERNAMBU_3    1 24  0 0 F                               342.50
 98 PERNAMBU_3    2 24  0 0 F                               342.50
