***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Dados Relativos as Usinas Hidraulicas:

----;--------;----;--------------;----;-----;-------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----;-----------;-----------;
    ;        ;    ;              ;    ;     ;       ;   Vagua   ;       Vol.Final ;     ;         Qincr        ;;         Qmont        ;;         Qmontv       ;;         Qdesv        ;;         QEvap        ;;      VazUsoAltern      ;;         Qtur         ;;        QturMin       ;;        QturMax       ;;        Engolimento   ;;         Vert         ;;  Geracao  ;    Gmax    ; Capacidade ;     ;  Perdhid  ;  Hqueda   ;
IPER;   Pat  ;USIH;     Nome     ;SIST;CONJ ; Unid  ;   $/MWh   ;    Hm3    ;   %       ;   m3/s    ;    Hm3    ;   m3/s    ;    Hm3    ;    m3/s   ;     Hm3   ;     m3/s  ;      Hm3  ;    m3/s   ;     Hm3   ;  m3/s      ;    Hm3     ;     m3/s  ;      Hm3  ;    m3/s   ;     Hm3   ;   m3/s    ;    Hm3    ;   m3/s    ;    Hm3    ;    m3/s   ;     Hm3/s ;     MW    ;     MW     ;     MW     ; L/D ;     MW    ;     m     ;
----;--------;----;--------------;----;-----;-------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----;-----------;-----------;
  1 ; LEVE   ; 14 ; CACONDE      ; S1 ;   1 ;    1  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;     94.00 ;      0.34 ;           ;           ;           ;           ;      0.00 ;     -      ;      41.20 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 14 ; CACONDE      ; S1 ;   2 ;    1  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;     94.00 ;      0.34 ;           ;           ;           ;           ;      0.00 ;     -      ;      39.20 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 14 ; CACONDE      ; S1 ;  99 ;   99  ;    224.22 ;    252.31 ;     50.06 ;     85.00 ;      0.31 ;      0.00 ;      0.00 ;      0.00 ;      0.00 ;      0.00 ;      0.00 ;     -     ;     -     ;      0.00  ;      0.00  ;      0.00 ;      0.00 ;      0.00 ;      0.00 ;     91.28 ;      0.33 ;     91.28 ;      0.33 ;      0.00 ;      0.00 ;      0.00 ;      80.40 ;      80.40 ;  -  ;      0.00 ;     96.01 ;
  1 ; LEVE   ; 15 ; E. DA CUNHA  ; S1 ;   1 ;    1  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;    148.00 ;      0.53 ;           ;           ;           ;           ;     27.20 ;     -      ;      27.20 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 15 ; E. DA CUNHA  ; S1 ;   1 ;    2  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;    148.00 ;      0.53 ;           ;           ;           ;           ;     14.10 ;     -      ;      27.20 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 15 ; E. DA CUNHA  ; S1 ;   1 ;    3  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;    148.00 ;      0.53 ;           ;           ;           ;           ;      0.00 ;     -      ;      27.20 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 15 ; E. DA CUNHA  ; S1 ;   1 ;    4  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;    148.00 ;      0.53 ;           ;           ;           ;           ;      0.00 ;     -      ;      27.20 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 15 ; E. DA CUNHA  ; S1 ;  99 ;   99  ;    212.21 ;     -     ;     -     ;     55.00 ;      0.20 ;      0.00 ;      0.00 ;      0.00 ;      0.00 ;      0.00 ;      0.00 ;     -     ;     -     ;      0.00  ;      0.00  ;     55.00 ;      0.20 ;      0.00 ;      0.00 ;    147.55 ;      0.53 ;    147.55 ;      0.53 ;      0.00 ;      0.00 ;     41.30 ;     108.80 ;     108.80 ;  -  ;      0.00 ;     87.79 ;
  1 ; LEVE   ; 16 ; A.S.OLIVEIRA ; S1 ;   1 ;    1  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;    178.00 ;      0.64 ;           ;           ;           ;           ;     12.43 ;     -      ;      16.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ; 16 ; A.S.OLIVEIRA ; S1 ;   1 ;    2  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;    178.00 ;      0.64 ;           ;           ;           ;           ;      0.00 ;     -      ;      16.00 ;  L  ;      0.00 ;           ;
