***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

---------------------------------------------------------
Avaliacao do Engolimento Maximo das Usinas Hidroeletricas                       
---------------------------------------------------------
----------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
USIH:      Numero de cadastro da usina hidroeletrica                                                                                                                                                    
NomeUsih:  Nome de cadastro da usina hidroeletrica                                                                                                                                                      
Vutil Med: Volume armazenado Util medio                                                                                                                                                                 
Qtur:      Vazao turbinada                                                                                                                                                                              
Qver:      Vazao vertida                                                                                                                                                                                
QturMax:   Vazao turbinada Maxima                                                                                                                                                                       
Engolim:   Engolimento Maximo                                                                                                                                                                           
----------------------------------------------------

-----;-----;--------------;----------;---------;---------;---------;------------;
IPER ;USIH ;   NomeUsih   ;Vutil Med ;  Qtur   ;  Qver   ; QturMax ;  Engolim   ;
  -  ;  -  ;      -       ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;   (m3/s)   ;
-----;-----;--------------;----------;---------;---------;---------;------------;
  12 ; 016 ; A.S.OLIVEIRA ;    -     ;   148.17;     0.00;   178.00;     183.81 ;
  12 ; 024 ; EMBORCACAO   ;    53.69 ;   348.02;     0.00;  1048.00;    1018.91 ;
  12 ; 025 ; NOVA PONTE   ;    73.53 ;   503.17;     0.00;   576.00;     616.21 ;
  12 ; 026 ; MIRANDA      ;    99.91 ;   656.83;     0.00;   675.00;     683.62 ;
  12 ; 030 ; CORUMBA I    ;    63.32 ;   556.12;     0.00;   570.00;     556.49 ;
  12 ; 031 ; ITUMBIARA    ;    54.25 ;  1601.61;     0.00;  2940.00;    2846.20 ;
  12 ; 032 ; CACH.DOURADA ;    -     ;  1713.61;     0.00;  2513.00;    2544.67 ;
  12 ; 033 ; SAO SIMAO    ;    85.91 ;  1259.81;     0.00;  2670.00;    2749.91 ;
  13 ; 006 ; FURNAS       ;    10.41 ;   102.00;     0.00;  1692.00;    1599.76 ;
  13 ; 007 ; M. DE MORAES ;     8.47 ;  1100.00;     0.00;  1328.00;    1138.79 ;
  13 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
  13 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
  13 ; 014 ; CACONDE      ;    50.63 ;     8.00;     0.00;    94.00;      91.35 ;
  13 ; 015 ; E. DA CUNHA  ;    -     ;    63.00;     0.00;   148.00;     147.55 ;
  13 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
  13 ; 024 ; EMBORCACAO   ;    53.70 ;   140.13;     0.00;  1048.00;    1022.12 ;
  13 ; 025 ; NOVA PONTE   ;    73.53 ;   360.50;     0.00;   576.00;     618.50 ;
  13 ; 026 ; MIRANDA      ;    99.84 ;   417.78;     0.00;   675.00;     685.13 ;
  13 ; 030 ; CORUMBA I    ;    63.36 ;   556.14;     0.00;   570.00;     556.52 ;
  13 ; 031 ; ITUMBIARA    ;    54.26 ;  1129.72;     0.00;  2940.00;    2858.50 ;
  13 ; 032 ; CACH.DOURADA ;    -     ;  1241.72;     0.00;  2513.00;    2555.50 ;
  13 ; 033 ; SAO SIMAO    ;    86.02 ;   459.18;     0.00;  2670.00;    2756.97 ;
  14 ; 006 ; FURNAS       ;    10.44 ;   102.00;     0.00;  1692.00;    1599.82 ;
  14 ; 007 ; M. DE MORAES ;     8.35 ;  1100.00;     0.00;  1328.00;    1138.44 ;
  14 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
  14 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
  14 ; 014 ; CACONDE      ;    50.68 ;     8.64;     0.00;    94.00;      91.32 ;
  14 ; 015 ; E. DA CUNHA  ;    -     ;    63.64;     0.00;   148.00;     147.53 ;
  14 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.64;     0.00;   178.00;     185.03 ;
  14 ; 024 ; EMBORCACAO   ;    53.71 ;   224.70;     0.00;  1048.00;    1020.83 ;
  14 ; 025 ; NOVA PONTE   ;    73.54 ;   432.41;     0.00;   576.00;     617.29 ;
  14 ; 026 ; MIRANDA      ;    99.93 ;   455.48;     0.00;   675.00;     684.89 ;
  14 ; 030 ; CORUMBA I    ;    63.40 ;   556.17;     0.00;   570.00;     556.55 ;
  14 ; 031 ; ITUMBIARA    ;    54.27 ;  1372.83;     0.00;  2940.00;    2852.17 ;
  14 ; 032 ; CACH.DOURADA ;    -     ;  1484.83;     0.00;  2513.00;    2549.80 ;
  14 ; 033 ; SAO SIMAO    ;    86.14 ;   893.17;     0.00;  2670.00;    2753.56 ;
  15 ; 006 ; FURNAS       ;    10.46 ;   102.00;     0.00;  1692.00;    1599.89 ;
  15 ; 007 ; M. DE MORAES ;     8.23 ;  1100.00;     0.00;  1328.00;    1138.10 ;
  15 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
  15 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
  15 ; 014 ; CACONDE      ;    50.74 ;     8.64;     0.00;    94.00;      91.33 ;
  15 ; 015 ; E. DA CUNHA  ;    -     ;    63.64;     0.00;   148.00;     147.53 ;
  15 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.64;     0.00;   178.00;     185.03 ;
  15 ; 024 ; EMBORCACAO   ;    53.73 ;   199.41;     0.00;  1048.00;    1021.24 ;
  15 ; 025 ; NOVA PONTE   ;    73.54 ;   390.11;     0.00;   576.00;     617.99 ;
  15 ; 026 ; MIRANDA      ;   100.00 ;   468.11;     0.00;   675.00;     684.82 ;
  15 ; 030 ; CORUMBA I    ;    63.43 ;   556.20;     0.00;   570.00;     556.58 ;
  15 ; 031 ; ITUMBIARA    ;    54.28 ;  1336.99;     0.00;  2940.00;    2853.14 ;
  15 ; 032 ; CACH.DOURADA ;    -     ;  1448.99;     0.00;  2513.00;    2550.63 ;
  15 ; 033 ; SAO SIMAO    ;    86.26 ;   813.97;     0.00;  2670.00;    2754.43 ;
  16 ; 006 ; FURNAS       ;    10.49 ;   102.00;     0.00;  1692.00;    1599.95 ;
  16 ; 007 ; M. DE MORAES ;     8.10 ;  1100.00;     0.00;  1328.00;    1137.75 ;
  16 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
  16 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
  16 ; 014 ; CACONDE      ;    50.79 ;     8.64;     0.00;    94.00;      91.34 ;
  16 ; 015 ; E. DA CUNHA  ;    -     ;    63.64;     0.00;   148.00;     147.53 ;
  16 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.64;     0.00;   178.00;     185.03 ;
  16 ; 024 ; EMBORCACAO   ;    53.74 ;   248.19;     0.00;  1048.00;    1020.51 ;
  16 ; 025 ; NOVA PONTE   ;    73.54 ;   430.51;     0.00;   576.00;     617.33 ;
