-----;-----;-----;--------------;------------------;------------------;---------;---------;-------;-----------;------------;------------;---------;---------;------------;------------;---------;---------;---------;---------;---------;---------;------------------;------------------;
IPER ;IPAT ;USIH ;   NomeUsih   ; Situacao Inicio  ;   Situacao Fim   ; VarmMin ; VarmMax ;TpRegul;VarmSolVert; VTotalInic ;VTotalFinal ;  Qver   ;  Vver   ;QVert. max. ;VVert. max. ;  Qinc   ;  Vinc   ; Qmontv  ; Vmontv  ;  Qret   ;  Vret   ; QTurb. max. Mont ; VTurb. max. Mont ;
  -  ;  -  ;  -  ;      -       ;        -         ;        -         ;  (hm3)  ;  (hm3)  ;  (%)  ;   (hm3)   ;   (hm3)    ;   (hm3)    ; (m3/s)  ;  (hm3)  ;    m3/s    ;    hm3     ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ;       m3/s       ;       hm3        ;
-----;-----;-----;--------------;------------------;------------------;---------;---------;-------;-----------;------------;------------;---------;---------;------------;------------;---------;---------;---------;---------;---------;---------;------------------;------------------;
   3 ;   1 ; 014 ; CACONDE      ;                  ;                  ;    51.00;   555.00;   M   ;    363.98 ;     303.61 ;     303.92 ;     0.00;     0.00;       0.00 ;       0.00 ;    85.00;     0.31;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   3 ;   1 ; 015 ; E. DA CUNHA  ;                  ;                  ;    14.00;    14.00;   D   ;     14.00 ;      14.00 ;      14.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;    55.00;     0.20;     0.00;     0.00;     0.00;     0.00;      94.00       ;       0.34       ;
   3 ;   1 ; 016 ; A.S.OLIVEIRA ;                  ;                  ;    25.00;    25.00;   D   ;     25.00 ;      25.00 ;      25.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;     2.00;     0.01;     0.00;     0.00;     0.00;     0.00;     148.00       ;       0.53       ;
   3 ;   1 ; 024 ; EMBORCACAO   ;                  ;                  ;  4669.00; 17725.00;   M   ;  10626.45 ;   11658.27 ;   11660.51 ;     0.00;     0.00;  288630.07 ;    1039.07 ;   671.00;     2.42;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   3 ;   1 ; 025 ; NOVA PONTE   ;                  ;                  ;  2412.00; 12792.00;   M   ;   5500.05 ;   10032.56 ;   10034.19 ;     0.00;     0.00; 1260509.89 ;    4537.84 ;   493.00;     1.77;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   3 ;   1 ; 026 ; MIRANDA      ;                  ;                  ;   974.00;  1120.00;   M   ;    975.00 ;    1119.18 ;    1119.45 ;     0.00;     0.00;   40859.78 ;     147.10 ;    78.00;     0.28;     0.00;     0.00;     0.00;     0.00;     576.00       ;       2.07       ;
   3 ;   1 ; 030 ; CORUMBA I    ;                  ;                  ;   470.00;  1500.00;   M   ;    739.04 ;    1122.10 ;    1124.21 ;     0.00;     0.00;  108388.66 ;     390.20 ;   661.00;     2.38;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   3 ;   1 ; 031 ; ITUMBIARA    ;                  ;                  ;  4573.00; 17027.00;   M   ;   6915.60 ;   11310.55 ;   11309.11 ;     0.00;     0.00; 1224445.79 ;    4408.00 ;   444.00;     1.60;     0.00;     0.00;     0.00;     0.00;    2293.00       ;       8.25       ;
   3 ;   1 ; 032 ; CACH.DOURADA ;                  ;                  ;   460.00;   460.00;   D   ;    460.00 ;     460.00 ;     460.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;   112.00;     0.40;     0.00;     0.00;     0.00;     0.00;    2940.00       ;      10.58       ;
   3 ;   1 ; 033 ; SAO SIMAO    ;                  ;                  ;  7000.00; 12540.00;   M   ;   7000.00 ;   11705.83 ;   11712.39 ;     0.00;     0.00; 1313136.64 ;    4727.29 ;  1150.00;     4.14;     0.00;     0.00;     0.00;     0.00;    2513.00       ;       9.05       ;
   4 ;   1 ; 006 ; FURNAS       ;                  ;                  ;  5733.00; 22950.00;   M   ;   6173.76 ;    7484.80 ;    7489.10 ;     0.00;     0.00;  369359.45 ;    1329.69 ;  1295.00;     4.66;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   4 ;   1 ; 007 ; M. DE MORAES ;                  ;                  ;  1540.00;  4040.00;   M   ;   1895.00 ;    1780.83 ;    1777.77 ;     0.00;     0.00;       0.00 ;       0.00 ;   149.00;     0.54;     0.00;     0.00;     0.00;     0.00;    1692.00       ;       6.09       ;
   4 ;   1 ; 008 ; ESTREITO     ;                  ;                  ;  1423.00;  1423.00;   D   ;   1423.00 ;    1423.00 ;    1423.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;    31.00;     0.11;     0.00;     0.00;     0.00;     0.00;    1328.00       ;       4.78       ;
   4 ;   1 ; 010 ; IGARAPAVA    ;                  ;                  ;   480.00;   480.00;   D   ;    480.00 ;     480.00 ;     480.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;    49.00;     0.18;     0.00;     0.00;     0.00;     0.00;    2028.00       ;       7.30       ;
   4 ;   1 ; 014 ; CACONDE      ;                  ;                  ;    51.00;   555.00;   M   ;    363.98 ;     303.92 ;     304.22 ;     0.00;     0.00;       0.00 ;       0.00 ;    85.00;     0.31;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   4 ;   1 ; 015 ; E. DA CUNHA  ;                  ;                  ;    14.00;    14.00;   D   ;     14.00 ;      14.00 ;      14.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;    55.00;     0.20;     0.00;     0.00;     0.00;     0.00;      94.00       ;       0.34       ;
   4 ;   1 ; 016 ; A.S.OLIVEIRA ;                  ;                  ;    25.00;    25.00;   D   ;     25.00 ;      25.00 ;      25.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;     2.00;     0.01;     0.00;     0.00;     0.00;     0.00;     148.00       ;       0.53       ;
   4 ;   1 ; 024 ; EMBORCACAO   ;                  ;                  ;  4669.00; 17725.00;   M   ;  10626.45 ;   11660.51 ;   11662.74 ;     0.00;     0.00;  289921.07 ;    1043.72 ;   671.00;     2.42;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   4 ;   1 ; 025 ; NOVA PONTE   ;                  ;                  ;  2412.00; 12792.00;   M   ;   5500.05 ;   10034.19 ;   10035.82 ;     0.00;     0.00; 1261455.89 ;    4541.24 ;   493.00;     1.77;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   4 ;   1 ; 026 ; MIRANDA      ;                  ;                  ;   974.00;  1120.00;   M   ;    975.00 ;    1119.45 ;    1119.73 ;     0.00;     0.00;   41013.78 ;     147.65 ;    78.00;     0.28;     0.00;     0.00;     0.00;     0.00;     576.00       ;       2.07       ;
   4 ;   1 ; 030 ; CORUMBA I    ;                  ;                  ;   470.00;  1500.00;   M   ;    739.04 ;    1124.21 ;    1126.32 ;     0.00;     0.00;  109636.66 ;     394.69 ;   661.00;     2.38;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   4 ;   1 ; 031 ; ITUMBIARA    ;                  ;                  ;  4573.00; 17027.00;   M   ;   6915.60 ;   11309.11 ;   11307.68 ;     0.00;     0.00; 1224488.85 ;    4408.16 ;   444.00;     1.60;     0.00;     0.00;     0.00;     0.00;    2293.00       ;       8.25       ;
   4 ;   1 ; 032 ; CACH.DOURADA ;                  ;                  ;   460.00;   460.00;   D   ;    460.00 ;     460.00 ;     460.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;   112.00;     0.40;     0.00;     0.00;     0.00;     0.00;    2940.00       ;      10.58       ;
   4 ;   1 ; 033 ; SAO SIMAO    ;                  ;                  ;  7000.00; 12540.00;   M   ;   7000.00 ;   11712.39 ;   11718.94 ;     0.00;     0.00; 1316110.58 ;    4738.00 ;  1150.00;     4.14;     0.00;     0.00;     0.00;     0.00;    2513.00       ;       9.05       ;
   5 ;   1 ; 006 ; FURNAS       ;                  ;                  ;  5733.00; 22950.00;   M   ;   6173.76 ;    7489.10 ;    7493.39 ;     0.00;     0.00;  371847.45 ;    1338.65 ;  1295.00;     4.66;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
