***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


 DESVIOS DO MODELO DA FUNCAO DE PRODUCAO PARA S > 0
 ---------------------------------------------

                GH(FPEA) - GH(FPE)
      DESVIO =  ------------------
                     GH(FPE)

 ---------------------------------------------

USINA: ; 006 ; FURNAS       ;

-----;--------------;--------;---------;----------------------------------------------------------------------------------------------------
     ;              ; VARM   ; QTUR    ; VERT 1  ; VERT 2  ; VERT 3  ; VERT 4  ; VERT 5  ; VERT 6  ; VERT 7  ; VERT 8  ; VERT 9  ; VERT10  ;
-----;--------------;--------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;
USIH ;    USINA     ;  (%)   ;  (m3/s) ;     0.0 ;   706.9 ;  1413.7 ;  2120.6 ;  2827.4 ;  5654.8 ; 11309.7 ; 22619.4 ; 45238.7 ; 90477.4 ;
-----;--------------;--------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;
   6 ; FURNAS       ;    0.0 ;  1047.4 ;    -1.5 ;    -1.9 ;    -2.4 ;    -2.9 ;    -3.3 ;    -2.7 ;    39.4 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1063.5 ;    -1.5 ;    -1.9 ;    -2.3 ;    -2.8 ;    -3.1 ;    -2.5 ;    40.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1079.7 ;    -1.4 ;    -1.8 ;    -2.2 ;    -2.7 ;    -3.0 ;    -2.3 ;    41.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1095.8 ;    -1.3 ;    -1.7 ;    -2.1 ;    -2.5 ;    -2.9 ;    -2.1 ;    42.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1111.9 ;    -1.3 ;    -1.6 ;    -2.0 ;    -2.4 ;    -2.8 ;    -1.8 ;    42.9 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1128.0 ;    -1.2 ;    -1.6 ;    -2.0 ;    -2.3 ;    -2.7 ;    -1.6 ;    43.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1144.1 ;    -1.2 ;    -1.5 ;    -1.9 ;    -2.2 ;    -2.5 ;    -1.4 ;    44.6 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1160.2 ;    -1.1 ;    -1.4 ;    -1.8 ;    -2.2 ;    -2.4 ;    -1.2 ;    45.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1176.3 ;    -1.0 ;    -1.4 ;    -1.7 ;    -2.1 ;    -2.3 ;    -1.0 ;    46.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1192.5 ;    -1.0 ;    -1.3 ;    -1.6 ;    -2.0 ;    -2.2 ;    -0.8 ;    47.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1208.6 ;    -0.9 ;    -1.2 ;    -1.6 ;    -1.9 ;    -2.1 ;    -0.6 ;    48.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1224.7 ;    -0.9 ;    -1.2 ;    -1.5 ;    -1.8 ;    -2.0 ;    -0.5 ;    48.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1240.8 ;    -0.8 ;    -1.1 ;    -1.4 ;    -1.7 ;    -1.9 ;    -0.3 ;    49.7 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1256.9 ;    -0.8 ;    -1.0 ;    -1.3 ;    -1.6 ;    -1.8 ;    -0.1 ;    50.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1273.0 ;    -0.7 ;    -1.0 ;    -1.3 ;    -1.5 ;    -1.7 ;     0.1 ;    51.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1289.1 ;    -0.7 ;    -0.9 ;    -1.2 ;    -1.5 ;    -1.6 ;     0.3 ;    52.1 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1305.3 ;    -0.6 ;    -0.9 ;    -1.1 ;    -1.4 ;    -1.5 ;     0.4 ;    53.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1321.4 ;    -0.6 ;    -0.8 ;    -1.1 ;    -1.3 ;    -1.4 ;     0.6 ;    53.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1337.5 ;    -0.5 ;    -0.8 ;    -1.0 ;    -1.2 ;    -1.3 ;     0.8 ;    54.6 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1353.6 ;    -0.5 ;    -0.7 ;    -0.9 ;    -1.1 ;    -1.2 ;     0.9 ;    55.4 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1369.7 ;    -0.5 ;    -0.6 ;    -0.9 ;    -1.1 ;    -1.2 ;     1.1 ;    56.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1385.8 ;    -0.4 ;    -0.6 ;    -0.8 ;    -1.0 ;    -1.1 ;     1.3 ;    57.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1401.9 ;    -0.4 ;    -0.5 ;    -0.8 ;    -0.9 ;    -1.0 ;     1.4 ;    57.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1418.1 ;    -0.3 ;    -0.5 ;    -0.7 ;    -0.9 ;    -0.9 ;     1.6 ;    58.7 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1434.2 ;    -0.3 ;    -0.4 ;    -0.6 ;    -0.8 ;    -0.8 ;     1.7 ;    59.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1450.3 ;    -0.2 ;    -0.4 ;    -0.6 ;    -0.7 ;    -0.7 ;     1.9 ;    60.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1466.4 ;    -0.2 ;    -0.4 ;    -0.5 ;    -0.7 ;    -0.7 ;     2.0 ;    61.1 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1482.5 ;    -0.2 ;    -0.3 ;    -0.5 ;    -0.6 ;    -0.6 ;     2.2 ;    61.9 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1498.6 ;    -0.1 ;    -0.3 ;    -0.4 ;    -0.5 ;    -0.5 ;     2.3 ;    62.7 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1514.7 ;    -0.1 ;    -0.2 ;    -0.4 ;    -0.5 ;    -0.4 ;     2.5 ;    63.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1530.9 ;    -0.0 ;    -0.2 ;    -0.3 ;    -0.4 ;    -0.4 ;     2.6 ;    64.4 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1547.0 ;    -0.0 ;    -0.1 ;    -0.3 ;    -0.3 ;    -0.3 ;     2.8 ;    65.2 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1563.1 ;     0.0 ;    -0.1 ;    -0.2 ;    -0.3 ;    -0.2 ;     2.9 ;    66.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1579.2 ;     0.1 ;    -0.0 ;    -0.2 ;    -0.2 ;    -0.2 ;     3.0 ;    66.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1595.3 ;     0.1 ;     0.0 ;    -0.1 ;    -0.2 ;    -0.1 ;     3.2 ;    67.6 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1611.4 ;     0.1 ;     0.0 ;    -0.1 ;    -0.1 ;    -0.0 ;     3.3 ;    68.5 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1627.5 ;     0.2 ;     0.1 ;    -0.0 ;    -0.0 ;     0.1 ;     3.4 ;    69.3 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1643.7 ;     0.2 ;     0.1 ;     0.0 ;     0.0 ;     0.1 ;     3.6 ;    70.1 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1659.8 ;     0.2 ;     0.2 ;     0.1 ;     0.1 ;     0.2 ;     3.7 ;    71.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1675.9 ;     0.3 ;     0.2 ;     0.1 ;     0.1 ;     0.3 ;     3.8 ;    71.8 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    0.0 ;  1692.0 ;     0.3 ;     0.2 ;     0.2 ;     0.2 ;     0.3 ;     4.0 ;    72.7 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    5.0 ;     0.0 ;   100.0 ;   100.0 ;   100.0 ;   100.0 ;   100.0 ;   100.0 ;   100.0 ;     0.0 ;     0.0 ;     0.0 ;
   6 ; FURNAS       ;    5.0 ;    16.1 ;   -48.7 ;  -103.2 ;  -167.1 ;  -231.6 ;  -296.9 ;  -570.3 ; -1476.5 ;     0.0 ;     0.0 ;     0.0 ;
