***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Desvios da funcao de producao das usinas hidroeletricas

------;------;------;------;-------;--------------;--------;----------;----------;------------;-----------;--------;
 IPER ;  USI ; ITER ; IDES ;  Pat  ;     Nome     ;  Varm  ;  Qtur    ;   Vert   ; Ghid(FPHA) ; Ghid(FPH) ; Desvio ;
  -   ;   -  ;   -  ;   -  ;       ;       -      ;   (%)  ; (m3/s)   ;  (m3/s)  ;     (MW)   ;    (MW)   ;   (%)  ;
------;------;------;------;-------;--------------;--------;----------;----------;------------;-----------;--------;
   7  ;  32  ;   1  ;   2  ;LEVE   ; CACH.DOURADA ;    -   ;  1234.82 ;     0.00 ;    351.44  ;    351.80 ;  -0.10 ;
   7  ;  33  ;   1  ;   2  ;LEVE   ; SAO SIMAO    ;  85.10 ;   615.60 ;     0.00 ;    420.27  ;    419.30 ;   0.23 ;
   8  ;   6  ;   1  ;   2  ;LEVE   ; FURNAS       ;  10.20 ;   102.00 ;     0.00 ;     71.65  ;     70.76 ;   1.26 ;
   8  ;   7  ;   1  ;   2  ;LEVE   ; M. DE MORAES ;   9.51 ;  1100.00 ;     0.00 ;    293.53  ;    292.21 ;   0.45 ;
   8  ;   8  ;   1  ;   2  ;LEVE   ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
   8  ;  10  ;   1  ;   2  ;LEVE   ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
   8  ;  14  ;   1  ;   2  ;LEVE   ; CACONDE      ;  50.24 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
   8  ;  15  ;   1  ;   2  ;LEVE   ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
   8  ;  16  ;   1  ;   2  ;LEVE   ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
   8  ;  24  ;   1  ;   2  ;LEVE   ; EMBORCACAO   ;  53.57 ;    51.00 ;     0.00 ;     55.38  ;     55.33 ;   0.10 ;
   8  ;  25  ;   1  ;   2  ;LEVE   ; NOVA PONTE   ;  73.44 ;    40.00 ;     0.00 ;     41.02  ;     41.04 ;  -0.04 ;
   8  ;  26  ;   1  ;   2  ;LEVE   ; MIRANDA      ;  99.50 ;    42.00 ;     0.00 ;     26.44  ;     26.41 ;   0.13 ;
   8  ;  30  ;   1  ;   2  ;LEVE   ; CORUMBA I    ;  63.72 ;    74.00 ;     0.00 ;     62.30  ;     49.58 ;  25.65 ;
   8  ;  31  ;   1  ;   2  ;LEVE   ; ITUMBIARA    ;  54.08 ;  1317.21 ;     0.00 ;    887.71  ;    878.19 ;   1.08 ;
   8  ;  32  ;   1  ;   2  ;LEVE   ; CACH.DOURADA ;    -   ;  1429.21 ;     0.00 ;    403.45  ;    403.55 ;  -0.02 ;
   8  ;  33  ;   1  ;   2  ;LEVE   ; SAO SIMAO    ;  85.17 ;   450.00 ;     0.00 ;    307.22  ;    306.85 ;   0.12 ;
   9  ;   6  ;   1  ;   2  ;MEDIA  ; FURNAS       ;  10.21 ;   102.00 ;     0.00 ;     71.67  ;     70.77 ;   1.28 ;
   9  ;   7  ;   1  ;   2  ;MEDIA  ; M. DE MORAES ;   9.45 ;  1100.00 ;     0.00 ;    293.53  ;    292.04 ;   0.51 ;
   9  ;   8  ;   1  ;   2  ;MEDIA  ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
   9  ;  10  ;   1  ;   2  ;MEDIA  ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
   9  ;  14  ;   1  ;   2  ;MEDIA  ; CACONDE      ;  50.27 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
   9  ;  15  ;   1  ;   2  ;MEDIA  ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
   9  ;  16  ;   1  ;   2  ;MEDIA  ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
   9  ;  24  ;   1  ;   2  ;MEDIA  ; EMBORCACAO   ;  53.57 ;    51.00 ;     0.00 ;     55.38  ;     55.33 ;   0.09 ;
   9  ;  25  ;   1  ;   2  ;MEDIA  ; NOVA PONTE   ;  73.45 ;    40.00 ;     0.00 ;     41.02  ;     41.04 ;  -0.05 ;
   9  ;  26  ;   1  ;   2  ;MEDIA  ; MIRANDA      ;  99.60 ;    42.00 ;     0.00 ;     26.44  ;     26.41 ;   0.13 ;
   9  ;  30  ;   1  ;   2  ;MEDIA  ; CORUMBA I    ;  63.82 ;    74.00 ;     0.00 ;     62.52  ;     49.61 ;  26.02 ;
   9  ;  31  ;   1  ;   2  ;MEDIA  ; ITUMBIARA    ;  54.07 ;  1144.10 ;     0.00 ;    771.05  ;    765.17 ;   0.77 ;
   9  ;  32  ;   1  ;   2  ;MEDIA  ; CACH.DOURADA ;    -   ;  1256.10 ;     0.00 ;    357.13  ;    357.51 ;  -0.11 ;
   9  ;  33  ;   1  ;   2  ;MEDIA  ; SAO SIMAO    ;  85.24 ;   450.00 ;     0.00 ;    307.22  ;    306.90 ;   0.10 ;
  10  ;   6  ;   1  ;   2  ;MEDIA  ; FURNAS       ;  10.22 ;   102.00 ;     0.00 ;     71.70  ;     70.77 ;   1.31 ;
  10  ;   7  ;   1  ;   2  ;MEDIA  ; M. DE MORAES ;   9.39 ;  1100.00 ;     0.00 ;    293.53  ;    291.86 ;   0.57 ;
  10  ;   8  ;   1  ;   2  ;MEDIA  ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
  10  ;  10  ;   1  ;   2  ;MEDIA  ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
  10  ;  14  ;   1  ;   2  ;MEDIA  ; CACONDE      ;  50.30 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
  10  ;  15  ;   1  ;   2  ;MEDIA  ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
  10  ;  16  ;   1  ;   2  ;MEDIA  ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
  10  ;  24  ;   1  ;   2  ;MEDIA  ; EMBORCACAO   ;  53.58 ;    51.00 ;     0.00 ;     55.38  ;     55.33 ;   0.09 ;
  10  ;  25  ;   1  ;   2  ;MEDIA  ; NOVA PONTE   ;  73.46 ;   315.16 ;     0.00 ;    323.20  ;    322.59 ;   0.19 ;
  10  ;  26  ;   1  ;   2  ;MEDIA  ; MIRANDA      ;  99.91 ;   136.44 ;     0.00 ;     85.90  ;     85.60 ;   0.34 ;
  10  ;  30  ;   1  ;   2  ;MEDIA  ; CORUMBA I    ;  63.93 ;    74.00 ;     0.00 ;     62.74  ;     49.64 ;  26.38 ;
  10  ;  31  ;   1  ;   2  ;MEDIA  ; ITUMBIARA    ;  54.06 ;  1349.54 ;     0.00 ;    909.50  ;    899.12 ;   1.15 ;
  10  ;  32  ;   1  ;   2  ;MEDIA  ; CACH.DOURADA ;    -   ;  1461.54 ;     0.00 ;    412.10  ;    412.07 ;   0.01 ;
  10  ;  33  ;   1  ;   2  ;MEDIA  ; SAO SIMAO    ;  85.31 ;   450.00 ;     0.00 ;    307.22  ;    306.95 ;   0.09 ;
  11  ;   6  ;   1  ;   2  ;MEDIA  ; FURNAS       ;  10.24 ;   102.00 ;     0.00 ;     71.72  ;     70.78 ;   1.33 ;
  11  ;   7  ;   1  ;   2  ;MEDIA  ; M. DE MORAES ;   9.33 ;  1100.00 ;     0.00 ;    293.53  ;    291.69 ;   0.63 ;
  11  ;   8  ;   1  ;   2  ;MEDIA  ; ESTREITO     ;    -   ;  1131.00 ;     0.00 ;    646.81  ;    634.42 ;   1.95 ;
  11  ;  10  ;   1  ;   2  ;MEDIA  ; IGARAPAVA    ;    -   ;  1180.00 ;     0.00 ;    178.03  ;    178.09 ;  -0.03 ;
  11  ;  14  ;   1  ;   2  ;MEDIA  ; CACONDE      ;  50.33 ;     0.00 ;     0.00 ;      0.00  ;      0.00 ;   0.00 ;
  11  ;  15  ;   1  ;   2  ;MEDIA  ; E. DA CUNHA  ;    -   ;    55.00 ;     0.00 ;     41.30  ;     40.26 ;   2.58 ;
  11  ;  16  ;   1  ;   2  ;MEDIA  ; A.S.OLIVEIRA ;    -   ;    57.00 ;     0.00 ;     12.43  ;     12.42 ;   0.09 ;
  11  ;  24  ;   1  ;   2  ;MEDIA  ; EMBORCACAO   ;  53.59 ;    51.00 ;     0.00 ;     55.38  ;     55.34 ;   0.08 ;
  11  ;  25  ;   1  ;   2  ;MEDIA  ; NOVA PONTE   ;  73.46 ;    40.00 ;     0.00 ;     41.02  ;     41.04 ;  -0.04 ;
  11  ;  26  ;   1  ;   2  ;MEDIA  ; MIRANDA      ; 100.01 ;    42.00 ;     0.00 ;     26.44  ;     26.42 ;   0.09 ;
